team,main,id,title,author,journal,number,cites,year,cid,pubid
Poverty and Inequality,Berk Özler,ocxMxAwAAAAJ,Cash or condition? Evidence from a cash transfer experiment,"S Baird, C McIntosh, B Özler",The Quarterly journal of economics,"126 (4), 1709-1753",998,2011,"13121864269236741589,17811174609159292888,7410568452864638715",bEWYMUwI8FkC
Poverty and Inequality,Berk Özler,ocxMxAwAAAAJ,Effect of a cash transfer programme for schooling on prevalence of HIV and herpes simplex type 2 in Malawi: a cluster randomised trial,"SJ Baird, RS Garfein, CT McIntosh, B Özler",The Lancet,"379 (9823), 1320-1329",686,2012,"2637641389327894844,16522376566593043430,18441362174804481626",R3hNpaxXUhUC
Poverty and Inequality,Berk Özler,ocxMxAwAAAAJ,"Not Separate, Not Equal: Poverty and Inequality in Post‐apartheid South Africa",B Özler,Economic Development and Cultural Change,"55 (3), 487-529",605,2007,"11279883092585438184,3850236412302457023,11867620020815073947,7097781415874049199,14494233940905036018",u5HHmVD_uO8C
Poverty and Inequality,Berk Özler,ocxMxAwAAAAJ,World Development Report 2006: equity and development,World Bank,The World Bank,,590,2005,"10466991770774459264,1922031687053447544,183143754594870195,16410787736375159030",gsN89kCJA0AC
Poverty and Inequality,Berk Özler,ocxMxAwAAAAJ,"Conditional, unconditional and everything in between: a systematic review of the effects of cash transfer programmes on schooling outcomes","S Baird, FHG Ferreira, B Özler, M Woolcock",Journal of Development Effectiveness,"6 (1), 1-43",586,2014,"13318901430663438633,13315286574228854078",abG-DnoFyZgC
Poverty and Inequality,Berk Özler,ocxMxAwAAAAJ,Crime and local inequality in South Africa,"G Demombynes, B Ozler",Journal of Development Economics,"76 (2), 265-292",514,2005,"13709893342636409618,13870298762490760283,1476112472369415317,6537041761153384673",ULOm3_A8WrAC
Poverty and Inequality,Berk Özler,ocxMxAwAAAAJ,The short‐term impacts of a schooling conditional cash transfer program on the sexual behavior of young women,"S Baird, E Chirwa, C McIntosh, B Özler",Health economics,"19 (S1), 55-68",447,2010,"7875874118296860448,6205619186640805217,15740675281783001840",eQOLeE2rZwMC
Poverty and Inequality,Berk Özler,ocxMxAwAAAAJ,What’s Decentralization Got to Do with Learning? School Autonomy and Student Performance,"EM King, B Ozler",Kyoto University: Interfaces for Advanced Economic Analysis. DP,"54, 51-60",353,2005,"15011178109090817878,11154604904021646441,5458220261726093622,17063412004406380865,8011300155741585761",IWHjjKOFINEC
Poverty and Inequality,Berk Özler,ocxMxAwAAAAJ,Reassessing conditional cash transfer programs,"J Das, QT Do, B Özler",The World Bank Research Observer,"20 (1), 57-80",343,2005,"15714925560519813869,7250467465467776447,15097343273691692511",u-x6o8ySG0sC
Poverty and Inequality,Berk Özler,ocxMxAwAAAAJ,Poverty alleviation through geographic targeting: how much does disaggregation help?,"C Elbers, T Fujii, P Lanjouw, B Ozler, W Yin",Journal of Development Economics,"83 (1), 198-213",262,2007,"14550811714487496638,14842647686394969417",4TOpqqG69KYC
Poverty and Inequality,Berk Özler,ocxMxAwAAAAJ,Income Shocks and Adolescent Mental Health,"S Baird, J de Hoop, B Ozler",Journal of Human Resources,"48 (2), 370-403",242,2013,14026537975243112847,p2g8aNsByqUC
Poverty and Inequality,Berk Özler,ocxMxAwAAAAJ,Optimal design of experiments in the presence of interference,"S Baird, JA Bohren, C McIntosh, B Özler",Review of Economics and Statistics,"100 (5), 844-860",241,2018,"9961505641994446390,18010031873583552013,16594891215090872762,8447205001624803313,2193251571582902072,14967322893697348637",ZuybSZzF8UAC
Poverty and Inequality,Berk Özler,ocxMxAwAAAAJ,How low can you go? Combining census and survey data for mapping poverty in South Africa,"H Alderman, M Babita, G Demombynes, N Makhatha, B Özler",Journal of African Economies,"11 (2), 169",205,2002,"14330893525532495370,4732143309786385641,14035729912460352359,11024906896414988833,2663434628378553557,426149774364329558",d1gkVwhDpl0C
Poverty and Inequality,Berk Özler,ocxMxAwAAAAJ,A database on poverty and growth in India,"B Ozler, G Datt, M Ravallion","Policy Research Department, The World Bank",,200,1996,"3579968797270633704,7675848966724582392,4672675631450265479,4860379543850813240",YOwf2qJgpHMC
Poverty and Inequality,Berk Özler,ocxMxAwAAAAJ,On the unequal inequality of poor communities,"C Elbers, PF Lanjouw, JA Mistiaen, B Özler, K Simler",The World Bank Economic Review,"18 (3), 401-421",183,2004,"13765528676374445250,876656758676838342,8398442958565022955,1280686599164194035,3162615206402819294",9yKSN-GCB0IC
Poverty and Inequality,Berk Özler,ocxMxAwAAAAJ,Local inequality and project choice: Theory and evidence from Ecuador,"MC Araujo, FHG Ferreira, P Lanjouw, B Özler",Journal of Public Economics,"92 (5), 1022-1046",174,2008,"5491988692830347062,13000640232058223961,15050232471752184767",Y0pCki6q_DkC
Poverty and Inequality,Berk Özler,ocxMxAwAAAAJ,Reinterpreting between-group inequality,"C Elbers, P Lanjouw, JA Mistiaen, B Özler",Journal of Economic Inequality,"6 (3), 231-245",172,2008,"2601276217886987254,1277528090583805,9575059101813687512",Tyk-4Ss8FVUC
Poverty and Inequality,Berk Özler,ocxMxAwAAAAJ,"When the Money Runs Out: Do Cash Transfers Have Sustained Effects on Human Capital Accumulation? March 30, 2019","S Baird, C McIntosh, B Özler",,,147,2019,"6698379610869332919,6786185288729981376,9557296523400720602,7088020157959694372,16553666209093701371,10469271000591139897,7383301090138221329,11715514068499264283,6015298492874174288,3512017243630854087",uc_IGeMz5qoC
Poverty and Inequality,Berk Özler,ocxMxAwAAAAJ,Producing an Improved Geographic Profile of Poverty: Methodology and Evidence from Three Developing Countries,"G Demombynes, C Elbers, JO Lanjouw, P Lanjouw, J Mistiaen, B Ozler","Growth, Inequality, and Poverty: Prospects for Pro-Poor Economic Development …",,139,2004,"734681912070945418,8350538749478245130,12099948727397859603,11000129257768597494,3131269393725956226",Wp0gIr-vW9MC
Poverty and Inequality,Berk Özler,ocxMxAwAAAAJ,Inequality of opportunity and economic growth: how much can cross‐country regressions really tell us?,"FHG Ferreira, C Lakner, MA Lugo, B Özler",Review of Income and Wealth,"64 (4), 800-827",109,2018,"2987016241419938478,7176192526056730487,13299843627458764455",hkOj_22Ku90C
Poverty and Inequality,Berk Özler,ocxMxAwAAAAJ,Designing cost-effective cash transfer programs to boost schooling in sub-Saharan Africa,"S Baird, C McIntosh, B Özler",World Bank Policy Research Working Paper,,101,2009,"14118921543305989222,10273704256363420651,14699809127585258509,13516212100720313108",0EnyYjriUFMC
Poverty and Inequality,Berk Özler,ocxMxAwAAAAJ,Nicaragua’s School Autonomy Reform: Fact or Fiction?,"E King, B Ozler, L Rawlings",World Bank Working Paper Series on Impact Evaluation of Education Reforms,,90,1999,"2693719044757484462,18078180465960540468,106720453840526849",aqlVkmm33-oC
